"","Store","Id","DayOfWeek","Date","Open","Promo","StateHoliday","SchoolHoliday","StoreType","Assortment","CompetitionDistance","CompetitionOpenSinceMonth","CompetitionOpenSinceYear","Promo2","Promo2SinceWeek","Promo2SinceYear","PromoInterval","month","year","day"
"1",1,1,4,2015-09-17,1,1,"0",0,"c","a",1270,9,2008,0,0,0,"",9,15,17
"2",1,24825,3,2015-08-19,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,19
"3",1,5993,4,2015-09-10,1,0,"0",0,"c","a",1270,9,2008,0,0,0,"",9,15,10
"4",1,37665,2,2015-08-04,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,4
"5",1,18833,3,2015-08-26,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,26
"6",1,12841,3,2015-09-02,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",9,15,2
"7",1,19689,2,2015-08-25,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,25
"8",1,857,3,2015-09-16,1,1,"0",0,"c","a",1270,9,2008,0,0,0,"",9,15,16
"9",1,15409,7,2015-08-30,0,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,30
"10",1,38521,1,2015-08-03,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,3
"11",1,13697,2,2015-09-01,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",9,15,1
"12",1,7705,2,2015-09-08,1,0,"0",0,"c","a",1270,9,2008,0,0,0,"",9,15,8
"13",1,39377,7,2015-08-02,0,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,2
"14",1,20545,1,2015-08-24,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,24
"15",1,1713,2,2015-09-15,1,1,"0",0,"c","a",1270,9,2008,0,0,0,"",9,15,15
"16",1,16265,6,2015-08-29,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,29
"17",1,33385,7,2015-08-09,0,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,9
"18",1,27393,7,2015-08-16,0,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,16
"19",1,2569,1,2015-09-14,1,1,"0",0,"c","a",1270,9,2008,0,0,0,"",9,15,14
"20",1,40233,6,2015-08-01,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,1
"21",1,21401,7,2015-08-23,0,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,23
"22",1,35953,4,2015-08-06,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,6
"23",1,34241,6,2015-08-08,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,8
"24",1,3425,7,2015-09-13,0,0,"0",0,"c","a",1270,9,2008,0,0,0,"",9,15,13
"25",1,22257,6,2015-08-22,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,22
"26",1,9417,7,2015-09-06,0,0,"0",0,"c","a",1270,9,2008,0,0,0,"",9,15,6
"27",1,30817,3,2015-08-12,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,12
"28",1,10273,6,2015-09-05,1,0,"0",0,"c","a",1270,9,2008,0,0,0,"",9,15,5
"29",1,35097,5,2015-08-07,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,7
"30",1,23113,5,2015-08-21,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,21
"31",1,4281,6,2015-09-12,1,0,"0",0,"c","a",1270,9,2008,0,0,0,"",9,15,12
"32",1,14553,1,2015-08-31,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,31
"33",1,8561,1,2015-09-07,1,0,"0",0,"c","a",1270,9,2008,0,0,0,"",9,15,7
"34",1,29961,4,2015-08-13,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,13
"35",1,25681,2,2015-08-18,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,18
"36",1,5137,5,2015-09-11,1,0,"0",0,"c","a",1270,9,2008,0,0,0,"",9,15,11
"37",1,23969,4,2015-08-20,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,20
"38",1,36809,3,2015-08-05,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,5
"39",1,17977,4,2015-08-27,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,27
"40",1,26537,1,2015-08-17,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,17
"41",1,11985,4,2015-09-03,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",9,15,3
"42",1,6849,3,2015-09-09,1,0,"0",0,"c","a",1270,9,2008,0,0,0,"",9,15,9
"43",1,17121,5,2015-08-28,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,28
"44",1,29105,5,2015-08-14,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,14
"45",1,32529,1,2015-08-10,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,10
"46",1,11129,5,2015-09-04,1,1,"0",1,"c","a",1270,9,2008,0,0,0,"",9,15,4
"47",1,31673,2,2015-08-11,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,11
"48",1,28249,6,2015-08-15,1,0,"0",1,"c","a",1270,9,2008,0,0,0,"",8,15,15
"49",3,23970,4,2015-08-20,1,1,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,20
"50",3,1714,2,2015-09-15,1,1,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",9,15,15
"51",3,24826,3,2015-08-19,1,1,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,19
"52",3,18834,3,2015-08-26,1,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,26
"53",3,38522,1,2015-08-03,1,1,"0",1,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,3
"54",3,5994,4,2015-09-10,1,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",9,15,10
"55",3,35954,4,2015-08-06,1,1,"0",1,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,6
"56",3,2,4,2015-09-17,1,1,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",9,15,17
"57",3,39378,7,2015-08-02,0,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,2
"58",3,4282,6,2015-09-12,1,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",9,15,12
"59",3,29106,5,2015-08-14,1,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,14
"60",3,8562,1,2015-09-07,1,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",9,15,7
"61",3,9418,7,2015-09-06,0,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",9,15,6
"62",3,25682,2,2015-08-18,1,1,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,18
"63",3,19690,2,2015-08-25,1,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,25
"64",3,34242,6,2015-08-08,1,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,8
"65",3,16266,6,2015-08-29,1,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,29
"66",3,22258,6,2015-08-22,1,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,22
"67",3,26538,1,2015-08-17,1,1,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,17
"68",3,20546,1,2015-08-24,1,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,24
"69",3,10274,6,2015-09-05,1,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",9,15,5
"70",3,30818,3,2015-08-12,1,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,12
"71",3,37666,2,2015-08-04,1,1,"0",1,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,4
"72",3,33386,7,2015-08-09,0,0,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,9
"73",3,14554,1,2015-08-31,1,1,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",8,15,31
"74",3,858,3,2015-09-16,1,1,"0",0,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",9,15,16
